model,regime,prompt_id,fact_id,category,context_answer,memory_answer,reason
qwen2_5_3b_instruct,explicit_context,p_2dc8bc7d91,fact_50f768a4d5,geography,Rio,Brasilia,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_1375c7611b,fact_18aa9e9202,geography,Mumbai,New Delhi,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_cc95a9a820,fact_ca64e96245,geography,St Petersburg,Moscow,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_ff12b8106b,fact_2874804b8c,geography,Cancun,Mexico City,neither
qwen2_5_3b_instruct,explicit_context,p_cdd4a0f409,fact_286046a449,geography,Cape Town,Pretoria,neither
qwen2_5_3b_instruct,explicit_context,p_86973b951d,fact_44005944e3,geography,Cordoba,Buenos Aires,neither
qwen2_5_3b_instruct,explicit_context,p_15afdfef1e,fact_2617dd9d80,geography,Cusco,Lima,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_516cfc4386,fact_0222835aa1,geography,Medellin,Bogota,neither
qwen2_5_3b_instruct,explicit_context,p_4588f149df,fact_ec31e79d2e,geography,Valparaiso,Santiago,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_7b16cd4a1d,fact_650f37efb4,geography,Isfahan,Tehran,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_cbc37ba64e,fact_038c326d27,geography,Basra,Baghdad,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_31b0ba6207,fact_69609ac68d,geography,Jeddah,Riyadh,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_fdd856d81c,fact_875fda5014,geography,Tel Aviv,Jerusalem,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_7a04fb84f4,fact_f5e4bfa6f2,geography,Thessaloniki,Athens,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_bdd1737968,fact_14ff40da97,geography,Gothenburg,Stockholm,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_57b3d147dd,fact_8374cc6152,geography,Tampere,Helsinki,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_14153de1e1,fact_dc899c066d,geography,Aarhus,Copenhagen,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_9ff453d2ae,fact_c6f2f1741c,geography,Krakow,Warsaw,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_3cd47fbf83,fact_4eed072e0a,geography,Lviv,Kyiv,neither
qwen2_5_3b_instruct,explicit_context,p_538036a53e,fact_1c83d19930,geography,Cluj,Bucharest,neither
qwen2_5_3b_instruct,explicit_context,p_a5af58ebe2,fact_7c6956c666,geography,Debrecen,Budapest,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_a5ba5423f7,fact_635a00293d,geography,Antwerp,Brussels,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_ee39d5321e,fact_a5fe058fe7,geography,Phuket,Bangkok,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_756f7aee78,fact_4bbeadf6ad,geography,Saigon,Hanoi,neither
qwen2_5_3b_instruct,explicit_context,p_e62ef8e00f,fact_a235a13cfc,geography,Cebu,Manila,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_c3a1a22ff5,fact_7b0d3cbc7d,geography,Penang,Kuala Lumpur,neither
qwen2_5_3b_instruct,explicit_context,p_5bf180ce76,fact_76fd43d9a1,geography,Busan,Seoul,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_4330eac52f,fact_c53d00f125,geography,Mombasa,Nairobi,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_235137f9e1,fact_7da9e1a49d,geography,Lagos,Abuja,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_871e376bda,fact_43a61a9717,geography,Casablanca,Rabat,neither
qwen2_5_3b_instruct,explicit_context,p_2ad23fbaf2,fact_d1a7ba5a02,geography,Nairobi,Addis Ababa,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_a546731285,fact_4ac8a5d8a6,geography,Kumasi,Accra,neither
qwen2_5_3b_instruct,explicit_context,p_51aeaa32f0,fact_a08651e3a6,geography,Chittagong,Dhaka,neither
qwen2_5_3b_instruct,explicit_context,p_ce579d8c64,fact_69259664b6,geography,Colombo,Sri Jayawardenepura Kotte,neither
qwen2_5_3b_instruct,explicit_context,p_8930cf9c15,fact_0c5ef66604,geography,Los Angeles,Sacramento,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_3f10175b65,fact_b5dacf01fb,geography,Miami,Tallahassee,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_7b341b5bea,fact_12c37a2b97,geography,New York City,Albany,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_cc0d2a03b7,fact_7f94c6b033,geography,Philadelphia,Harrisburg,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_fa9190fb19,fact_e11e5bad57,geography,Las Vegas,Carson City,neither
qwen2_5_3b_instruct,explicit_context,p_adb6e13cc7,fact_67f1571903,geography,Baltimore,Annapolis,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_146f5f1a81,fact_c4dbfabb88,geography,Minneapolis,Saint Paul,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_e5ceec4ad9,fact_ad986f03e1,geography,New Orleans,Baton Rouge,neither
qwen2_5_3b_instruct,explicit_context,p_9b591f1efa,fact_90c385f2dc,geography,Louisville,Frankfort,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_301defe7e8,fact_18b6eda606,geography,New Haven,Hartford,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_a427c1d868,fact_39cee6bcd6,geography,Provo,Salt Lake City,neither
qwen2_5_3b_instruct,explicit_context,p_5284dcae42,fact_23011915f5,geography,Cedar Rapids,Des Moines,neither
qwen2_5_3b_instruct,explicit_context,p_7d105aac52,fact_57d9029279,geography,Biloxi,Jackson,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_40d0a650b9,fact_204e343618,geography,Wichita,Topeka,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_a612f3770c,fact_2b97c29591,geography,Nampa,Boise,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_31d7e737ce,fact_8fcae9fadc,geography,Hilo,Honolulu,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_69621c65c4,fact_51830d1683,geography,Anchorage,Juneau,neither
qwen2_5_3b_instruct,explicit_context,p_eda38a4f3b,fact_8b142e6764,geography,Billings,Helena,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_2547687bf3,fact_6d1a9d7a60,geography,Burlington,Montpelier,no_memory_single_token
